Scopus-11596-Analyze-Subject

"Your query : (TITLE-ABS-KEY(""multidimensional scaling""))"


Number of results : 11596

"SUBJECT AREA",
"Agricultural and Biological Sciences","3120"
"Computer Science","2017"
"Psychology","1863"
"Environmental Science","1812"
"Social Sciences","1653"
"Medicine","1580"
"Mathematics","1312"
"Biochemistry, Genetics and Molecular Biology","1217"
"Engineering","1101"
"Arts and Humanities","738"
"Earth and Planetary Sciences","693"
"Neuroscience","676"
"Business, Management and Accounting","534"
"Decision Sciences","420"
"Immunology and Microbiology","383"
"Physics and Astronomy","344"
"Chemistry","219"
"Economics, Econometrics and Finance","166"
"Nursing","149"
"Chemical Engineering","133"
"Health Professions","123"
"Pharmacology, Toxicology and Pharmaceutics","119"
"Materials Science","118"
"Multidisciplinary","100"
"Energy","62"
"Veterinary","40"
"Dentistry","13"
"Undefined","7"
