"area","count"
"Biología y agricultura","3120"
"Ciencias de la computación","2017"
"Psicología","1863"
"Ciencias medioambientales","1812"
"Ciencias sociales","1653"
"Medicina","1580"
"Matemáticas","1312"
"Bioquímica, biología genética y molecular","1217"
"Ingeniería","1101"
"Artes y humanidades","738"
"Geociencia","693"
"Neurociencia","676"
"Negocios, administración y contabilidad","534"
"Teoría de decisión","420"
"Inmunología y microbiología","383"
"Física y Astronomía","344"
"Química","219"
"Economía, econometría y finanzas","166"
"Enfermería","149"
"Ingeniería química","133"
"Profesiones de la salud","123"
"Farmacología, toxicología y farmacéutica","119"
"Ciencia de los materiales","118"
"Multidisciplinario","100"
"Energía","62"
"Veterinaria","40"
"Odontología","13"
"No definido","7"
