Research Areas	area	records	percent
ENVIRONMENTAL SCIENCES ECOLOGY	ECOLOGÍA CIENCIAS AMBIENTALES	1370	17.955
PSYCHOLOGY	PSICOLOGÍA	1212	15.885
MARINE FRESHWATER BIOLOGY	BIOLOGíA DE AGUA DULCE	712	9.332
COMPUTER SCIENCE	CIENCIAS DE LA COMPUTACIÓN	682	8.938
MATHEMATICS	MATEMÁTICAS	532	6.972
PLANT SCIENCES	BOTÁNICA	429	5.623
ENGINEERING	INGENIERÍA	416	5.452
AGRICULTURE	AGRICULTURA	286	3.748
NEUROSCIENCES NEUROLOGY	NEUROCIENCIAS NEUROLOGIA	265	3.473
BUSINESS ECONOMICS	ECONOMÍA Y NEGOCIOS	259	3.394
BIODIVERSITY CONSERVATION	CONSERVACIÓN DE LA BIODIVERSIDAD	255	3.342
OCEANOGRAPHY	OCEANOGRAFÍA	251	3.290
FORESTRY	SILVICULTURA	245	3.211
SCIENCE TECHNOLOGY OTHER TOPICS	CIENCIA Y TECNOLOGÍA	240	3.145
BIOCHEMISTRY MOLECULAR BIOLOGY	BIOQUIMICA BIOLOGIA MOLECULAR	209	2.739
GENETICS HEREDITY	GENÉTICA	209	2.739
GEOLOGY	GEOLOGÍA	181	2.372
ZOOLOGY	ZOOLOGÍA	178	2.333
MICROBIOLOGY	MICROBIOLOGÍA	176	2.307
MATHEMATICAL METHODS IN SOCIAL SCIENCES	MÉTODOS MATEMÁTICOS EN CIENCIAS SOCIALES	174	2.280
BIOTECHNOLOGY APPLIED MICROBIOLOGY	BIOTECNOLOGÍA MICROBIOLOGÍA APLICADA	160	2.097
EVOLUTIONARY BIOLOGY	BIOLOGÍA EVOLUCIONARIA	157	2.058
FISHERIES	PISCICULTURA	156	2.045
LIFE SCIENCES BIOMEDICINE OTHER TOPICS	BIOMEDICINA	142	1.861
SOCIAL SCIENCES OTHER TOPICS	CIENCIAS SOCIALES 	129	1.691
INFORMATION SCIENCE LIBRARY SCIENCE	CIENCIAS DE LA INFORMACION	124	1.625
PHYSICAL GEOGRAPHY	GEOGRAFÍA	123	1.612
FOOD SCIENCE TECHNOLOGY	Tecnología de los alimentos	120	1.573
WATER RESOURCES	HIDROLOGÍA	116	1.520
ANTHROPOLOGY	ANTROPOLOGÍA	111	1.455
CHEMISTRY	QUÍMICA	110	1.442
ENTOMOLOGY	ENTOMOLOGÍA	102	1.337
PUBLIC ENVIRONMENTAL OCCUPATIONAL HEALTH	SALUD OCUPACIONAL	100	1.311
PSYCHIATRY	PSIQUIATRÍA	98	1.284
OPERATIONS RESEARCH MANAGEMENT SCIENCE	ADMINISTRACIÓN	96	1.258
ACOUSTICS	ACÚSTICA	90	1.180
BEHAVIORAL SCIENCES	CIENCIA DEL COMPORTAMIENTO	90	1.180
EDUCATION EDUCATIONAL RESEARCH	EDUCACIÓN	89	1.166
MATHEMATICAL COMPUTATIONAL BIOLOGY	BIOLOGIA COMPUTACIONAL MATEMATICA	88	1.153
AUDIOLOGY SPEECH LANGUAGE PATHOLOGY	AUDIOLOGÍA 	84	1.101
SOCIOLOGY	SOCIOLOGÍA	71	0.931
HEALTH CARE SCIENCES SERVICES	CIENCIAS DE LA SALUD	66	0.865
PALEONTOLOGY	PALEONTOLOGÍA	66	0.865
LINGUISTICS	LINGÜÍSTICA	64	0.839
LEGAL MEDICINE	MEDICINA LEGAL	59	0.773
PHYSICS	FÍSICA	59	0.773
TELECOMMUNICATIONS	TELECOMUNICACIONES	59	0.773
PHYSIOLOGY	FISIOLOGÍA	54	0.708
OPHTHALMOLOGY	OFTALMOLOGÍA	51	0.668
CRIMINOLOGY PENOLOGY	CRIMINOLOGÍA	42	0.550
ONCOLOGY	ONCOLOGÍA	42	0.550
GOVERNMENT LAW	LEY DE GOBIERNO	41	0.537
PHARMACOLOGY PHARMACY	FARMACOLOGIA FARMACIA	41	0.537
FAMILY STUDIES	Estudios familiares	39	0.511
COMMUNICATION	COMUNICACIÓN	36	0.472
TOXICOLOGY	TOXICOLOGÍA	35	0.459
AUTOMATION CONTROL SYSTEMS	SISTEMAS DE AUTOMATIZACION	34	0.446
GEOCHEMISTRY GEOPHYSICS	GEOQUIMICA GEOFISICA	32	0.419
IMAGING SCIENCE PHOTOGRAPHIC TECHNOLOGY	TECNOLOGÍA FOTOGRÁFICA	32	0.419
INSTRUMENTS INSTRUMENTATION	INSTRUMENTOS INSTRUMENTACIÓN	32	0.419
METEOROLOGY ATMOSPHERIC SCIENCES	METEOROLOGIA CIENCIAS ATMOSFERICAS	30	0.393
VETERINARY SCIENCES	CIENCIAS VETERINARIAS	30	0.393
GEOGRAPHY	GEOGRAFÍA	29	0.380
MEDICAL INFORMATICS	INFORMÁTICA MÉDICA	29	0.380
RADIOLOGY NUCLEAR MEDICINE MEDICAL IMAGING	RADIOLOGIA	29	0.380
MATERIALS SCIENCE	CIENCIA DE LOS MATERIALES	26	0.341
URBAN STUDIES	ESTUDIOS URBANOS	26	0.341
ARCHAEOLOGY	ARQUEOLOGÍA	25	0.328
MYCOLOGY	MICOLOGÍA	25	0.328
IMMUNOLOGY	INMUNOLOGÍA	24	0.315
NUTRITION DIETETICS	DIETETICA NUTRICIÓN	24	0.315
OPTICS	ÓPTICA	24	0.315
SOCIAL WORK	TRABAJO SOCIAL	24	0.315
MUSIC	MÚSICA	23	0.301
PARASITOLOGY	Parasitología	23	0.301
PUBLIC ADMINISTRATION	ADMINISTRACIÓN PÚBLICA	23	0.301
OTORHINOLARYNGOLOGY	Otorrinolaringología	22	0.288
REHABILITATION	REHABILITACIÓN	22	0.288
BIOPHYSICS	BIOFÍSICA	20	0.262
ENERGY FUELS	ENERGÍA Combustibles	20	0.262
GENERAL INTERNAL MEDICINE	MEDICINA INTERNA GENERAL	20	0.262
SPORT SCIENCES	Ciencias del deporte	20	0.262
BIOMEDICAL SOCIAL SCIENCES	Ciencias sociales biomédicas	19	0.249
GERIATRICS GERONTOLOGY	GERIATRIA GERONTOLOGIA	19	0.249
REMOTE SENSING	Teledetección	19	0.249
NURSING	ENFERMERÍA	18	0.236
SUBSTANCE ABUSE	ABUSO DE SUSTANCIAS	18	0.236
CELL BIOLOGY	BIOLOGÍA CELULAR	17	0.223
TRANSPORTATION	TRANSPORTE	17	0.223
MECHANICS	MECÁNICA	16	0.210
INFECTIOUS DISEASES	ENFERMEDADES INFECCIOSAS	14	0.183
RESEARCH EXPERIMENTAL MEDICINE	INVESTIGACIÓN MEDICINA EXPERIMENTAL	13	0.170
OBSTETRICS GYNECOLOGY	OBSTETRICIA Y GINECOLOGÍA	11	0.144
PEDIATRICS	PEDIATRÍA	11	0.144
DENTISTRY ORAL SURGERY MEDICINE	ODONTOLOGÍA	9	0.118
RESPIRATORY SYSTEM	SISTEMA RESPIRATORIO	9	0.118
SPECTROSCOPY	ESPECTROSCOPIA	9	0.118
PATHOLOGY	PATOLOGÍA	8	0.105
RHEUMATOLOGY	Reumatologia	8	0.105
ANESTHESIOLOGY	Anestesia	7	0.092
CRYSTALLOGRAPHY	CRISTALOGRAFÍA	7	0.092
SURGERY	CIRUGÍA	7	0.092
TROPICAL MEDICINE	MEDICINA TROPICAL	7	0.092
RELIGION	RELIGIÓN	6	0.079
SOCIAL ISSUES	ASUNTOS SOCIALES	6	0.079
ARTS HUMANITIES OTHER TOPICS	ARTES HUMANIDADES OTROS TEMAS	5	0.066
ASTRONOMY ASTROPHYSICS	ASTRONOMIA ASTROFISICA	5	0.066
CONSTRUCTION BUILDING TECHNOLOGY	CONSTRUCCIÓN DE TECNOLOGÍA DE CONSTRUCCIÓN	5	0.066
DEVELOPMENTAL BIOLOGY	BIOLOGÍA DEL DESARROLLO	5	0.066
ELECTROCHEMISTRY	ELECTROQUÍMICA	5	0.066
GASTROENTEROLOGY HEPATOLOGY	GASTROENTEROLOGIA HEPATOLOGIA	5	0.066
HISTORY PHILOSOPHY OF SCIENCE	HISTORIA FILOSOFÍA DE LA CIENCIA	5	0.066
INTEGRATIVE COMPLEMENTARY MEDICINE	MEDICINA COMPLEMENTARIA INTEGRATIVA	5	0.066
LITERATURE	LITERATURA	5	0.066
REPRODUCTIVE BIOLOGY	Biologia reproductiva	5	0.066
VIROLOGY	VIROLOGÍA	5	0.066
ANATOMY MORPHOLOGY	Anatomía Morfología	4	0.052
CARDIOVASCULAR SYSTEM CARDIOLOGY	CARDIOLOGIA	4	0.052
MEDICAL LABORATORY TECHNOLOGY	Tecnologia de laboratorio medico	4	0.052
MINING MINERAL PROCESSING	MINERÍA	4	0.052
UROLOGY NEPHROLOGY	urogía Nefrología	4	0.052
DEVELOPMENT STUDIES	ESTUDIOS DE DESARROLLO	3	0.039
HEMATOLOGY	HEMATOLOGÍA	3	0.039
HISTORY	HISTORIA	3	0.039
MINERALOGY	MINERALOGÍA	3	0.039
ORTHOPEDICS	ORTOPEDÍA	3	0.039
AREA STUDIES	ESTUDIOS DE ÁREA	2	0.026
ART	ARTES	2	0.026
DERMATOLOGY	DERMATOLOGÍA	2	0.026
ENDOCRINOLOGY METABOLISM	ENDOCRINOLOGIA	2	0.026
NUCLEAR SCIENCE TECHNOLOGY	CIENCIA y TECNOLOGÍA NUCLEAR	2	0.026
PHILOSOPHY	FILOSOFÍA	2	0.026
POLYMER SCIENCE	Ciencia de polímeros	2	0.026
ROBOTICS	Robotica	2	0.026
ALLERGY	ALERGIA	1	0.013
DEMOGRAPHY	DEMOGRAFÍA	1	0.013
EMERGENCY MEDICINE	MEDICINA DE EMERGENCIA	1	0.013
ETHNIC STUDIES	Estudios etnicos	1	0.013
FILM RADIO TELEVISION	RADIO Y TELEVISIÓN	1	0.013
INTERNATIONAL RELATIONS	RELACIONES INTERNACIONALES	1	0.013
METALLURGY METALLURGICAL ENGINEERING	METALURGIA INGENIERIA METALURGICA	1	0.013
MICROSCOPY	MICROSCOPÍA	1	0.013
WOMEN S STUDIES	ESTUDIOS DE LAS MUJERES	1	0.013
NA	NA	1	0.013
