clase(init+radio+pop),dataset,hyper_volume
cmdscaleMean+0.1+10,glass,3.73379168990835
cmdscaleMean+0.1+10,iris,3.29415097403797
cmdscaleMean+0.1+10,diabetes,3.17218623053591
cmdscalePca+0.1+10,glass,3.58017384147058
cmdscalePca+0.1+10,iris,2.71377603088059
cmdscalePca+0.1+10,diabetes,3.53203031705843
cmdscaleMean+0.1+10,glass,3.21021895041202
cmdscaleMean+0.1+10,iris,3.73951075877752
cmdscaleMean+0.1+10,diabetes,3.67023776956612
cmdscalePca+0.1+10,glass,2.7946192021128
cmdscalePca+0.1+10,iris,3.36058162940277
cmdscalePca+0.1+10,diabetes,3.53085652470947
cmdscaleMean+0.1+10,glass,3.16977450666435
cmdscaleMean+0.1+10,iris,3.73319693320079
cmdscaleMean+0.1+10,diabetes,3.64933558069575
cmdscalePca+0.1+10,glass,3.61538106297383
cmdscalePca+0.1+10,iris,3.60399018388292
cmdscalePca+0.1+10,diabetes,3.54594791185424
cmdscaleMean+0.1+10,glass,3.1758270527118
cmdscaleMean+0.1+10,iris,3.70044315147789
cmdscaleMean+0.1+10,diabetes,3.33388720295964
cmdscalePca+0.1+10,glass,2.88705574190873
cmdscalePca+0.1+10,iris,3.37512441662645
cmdscalePca+0.1+10,diabetes,2.78918619952484
cmdscaleMean+0.1+10,glass,2.95221289887105
cmdscaleMean+0.1+10,iris,3.71456083877108
cmdscaleMean+0.1+10,diabetes,3.30241379259597
cmdscalePca+0.1+10,glass,3.37901400864674
cmdscalePca+0.1+10,iris,2.83497628724981
cmdscalePca+0.1+10,diabetes,3.32978149092859
cmdscaleMean+0.1+10,glass,3.2024834018726
cmdscaleMean+0.1+10,iris,3.7485739259788
cmdscaleMean+0.1+10,diabetes,3.69364399366681
cmdscalePca+0.1+10,glass,3.56273246512872
cmdscalePca+0.1+10,iris,3.52550345967779
cmdscalePca+0.1+10,diabetes,3.52784327000023
cmdscaleMean+0.1+10,glass,2.94338851969945
cmdscaleMean+0.1+10,iris,3.73512420541995
cmdscaleMean+0.1+10,diabetes,3.7237469266318
cmdscalePca+0.1+10,glass,3.6021017616837
cmdscalePca+0.1+10,iris,3.03595863541564
cmdscalePca+0.1+10,diabetes,3.54699565446719
cmdscaleMean+0.1+10,glass,3.14731121210698
cmdscaleMean+0.1+10,iris,3.22188636917112
cmdscaleMean+0.1+10,diabetes,3.29741960106446
cmdscalePca+0.1+10,glass,3.60155523583046
cmdscalePca+0.1+10,iris,2.67678617692658
cmdscalePca+0.1+10,diabetes,3.53796748919488
cmdscaleMean+0.1+10,glass,3.71910079255344
cmdscaleMean+0.1+10,iris,3.30595317850409
cmdscaleMean+0.1+10,diabetes,3.68953446564345
cmdscalePca+0.1+10,glass,3.42874793401028
cmdscalePca+0.1+10,iris,3.55781602435041
cmdscalePca+0.1+10,diabetes,3.54572904497979
cmdscaleMean+0.1+10,glass,3.75736204501494
cmdscaleMean+0.1+10,iris,3.66942867063327
cmdscaleMean+0.1+10,diabetes,3.33431028587311
cmdscalePca+0.1+10,glass,3.59694100885223
cmdscalePca+0.1+10,iris,3.47887642758999
cmdscalePca+0.1+10,diabetes,3.52466593383885
cmdscaleMean+0.1+10,glass,3.71906852745477
cmdscaleMean+0.1+10,iris,3.73565133760589
cmdscaleMean+0.1+10,diabetes,3.72744756922628
cmdscalePca+0.1+10,glass,3.51100106800571
cmdscalePca+0.1+10,iris,3.46504695846458
cmdscalePca+0.1+10,diabetes,3.52020432088988
cmdscaleMean+0.2+10,glass,3.73711623229143
cmdscaleMean+0.2+10,iris,3.75053974677461
cmdscaleMean+0.2+10,diabetes,3.31690788229986
cmdscalePca+0.2+10,glass,3.52945023000506
cmdscalePca+0.2+10,iris,3.50576945465129
cmdscalePca+0.2+10,diabetes,3.54597276062837
cmdscaleMean+0.2+10,glass,3.74973052665531
cmdscaleMean+0.2+10,iris,3.73449248465212
cmdscaleMean+0.2+10,diabetes,3.71335484367225
cmdscalePca+0.2+10,glass,3.59650326927118
cmdscalePca+0.2+10,iris,3.60441117057087
cmdscalePca+0.2+10,diabetes,3.52752286135569
cmdscaleMean+0.2+10,glass,3.74628043497979
cmdscaleMean+0.2+10,iris,3.73766517888621
cmdscaleMean+0.2+10,diabetes,3.70591074915969
cmdscalePca+0.2+10,glass,3.61312142975343
cmdscalePca+0.2+10,iris,3.59369425579878
cmdscalePca+0.2+10,diabetes,3.51726610346115
cmdscaleMean+0.2+10,glass,3.74463998166715
cmdscaleMean+0.2+10,iris,3.27411285888023
cmdscaleMean+0.2+10,diabetes,3.68641443991142
cmdscalePca+0.2+10,glass,3.489397176173
cmdscalePca+0.2+10,iris,3.47819938836172
cmdscalePca+0.2+10,diabetes,3.59578557841725
cmdscaleMean+0.2+10,glass,3.75350989131486
cmdscaleMean+0.2+10,iris,3.75000569944321
cmdscaleMean+0.2+10,diabetes,3.6800549587897
cmdscalePca+0.2+10,glass,3.57657995812148
cmdscalePca+0.2+10,iris,3.45717128596414
cmdscalePca+0.2+10,diabetes,2.77032672701979
cmdscaleMean+0.2+10,glass,3.57156919849062
cmdscaleMean+0.2+10,iris,3.72976623702994
cmdscaleMean+0.2+10,diabetes,3.69895603314533
cmdscalePca+0.2+10,glass,3.53985400339177
cmdscalePca+0.2+10,iris,3.54659328016539
cmdscalePca+0.2+10,diabetes,3.52065802508001
cmdscaleMean+0.2+10,glass,3.73559460031886
cmdscaleMean+0.2+10,iris,3.74656516991097
cmdscaleMean+0.2+10,diabetes,3.22946463026273
cmdscalePca+0.2+10,glass,3.50309254332391
cmdscalePca+0.2+10,iris,3.59965183764187
cmdscalePca+0.2+10,diabetes,3.54008968913496
cmdscaleMean+0.2+10,glass,3.14491061001601
cmdscaleMean+0.2+10,iris,3.30096022430648
cmdscaleMean+0.2+10,diabetes,3.71846777295128
cmdscalePca+0.2+10,glass,3.57552646429124
cmdscalePca+0.2+10,iris,3.56117204744331
cmdscalePca+0.2+10,diabetes,3.5260063063516
cmdscaleMean+0.2+10,glass,3.59805152187997
cmdscaleMean+0.2+10,iris,3.71741760694712
cmdscaleMean+0.2+10,diabetes,3.65165311817833
cmdscalePca+0.2+10,glass,2.75212285749005
cmdscalePca+0.2+10,iris,3.49309239852882
cmdscalePca+0.2+10,diabetes,3.51929062636107
cmdscaleMean+0.2+10,glass,3.75013720192661
cmdscaleMean+0.2+10,iris,3.33440119748151
cmdscaleMean+0.2+10,diabetes,3.71296281935286
cmdscalePca+0.2+10,glass,3.62818477053351
cmdscalePca+0.2+10,iris,3.52616604520837
cmdscalePca+0.2+10,diabetes,3.53115005510725
cmdscaleMean+0.2+10,glass,3.75262308817116
cmdscaleMean+0.2+10,iris,3.74983414243392
cmdscaleMean+0.2+10,diabetes,3.15898645210009
cmdscalePca+0.2+10,glass,3.43247038573184
cmdscalePca+0.2+10,iris,3.56017480535192
cmdscalePca+0.2+10,diabetes,3.53984592002901
cmdscaleMean+0.3+10,glass,3.76223055236909
cmdscaleMean+0.3+10,iris,3.28838153216204
cmdscaleMean+0.3+10,diabetes,3.72374900350641
cmdscalePca+0.3+10,glass,3.45357404218691
cmdscalePca+0.3+10,iris,3.07309466766914
cmdscalePca+0.3+10,diabetes,3.53762394496168
cmdscaleMean+0.3+10,glass,3.75717863957784
cmdscaleMean+0.3+10,iris,3.3670529634984
cmdscaleMean+0.3+10,diabetes,3.37905378898703
cmdscalePca+0.3+10,glass,3.57046187419571
cmdscalePca+0.3+10,iris,3.52882651514969
cmdscalePca+0.3+10,diabetes,3.51483979670108
cmdscaleMean+0.3+10,glass,3.7465188782533
cmdscaleMean+0.3+10,iris,2.9842668314726
cmdscaleMean+0.3+10,diabetes,3.65926956391834
cmdscalePca+0.3+10,glass,3.51864120131859
cmdscalePca+0.3+10,iris,3.51713171332557
cmdscalePca+0.3+10,diabetes,3.54482562380575
cmdscaleMean+0.3+10,glass,3.75937951156529
cmdscaleMean+0.3+10,iris,3.74339978658034
cmdscaleMean+0.3+10,diabetes,3.36358653213379
cmdscalePca+0.3+10,glass,3.55184620945056
cmdscalePca+0.3+10,iris,2.9019695377833
cmdscalePca+0.3+10,diabetes,2.69134642245568
cmdscaleMean+0.3+10,glass,3.75147681977523
cmdscaleMean+0.3+10,iris,3.73145218644685
cmdscaleMean+0.3+10,diabetes,3.34214035476479
cmdscalePca+0.3+10,glass,3.39896154221262
cmdscalePca+0.3+10,iris,3.61265582175391
cmdscalePca+0.3+10,diabetes,3.51157555543656
cmdscaleMean+0.3+10,glass,3.75127551460616
cmdscaleMean+0.3+10,iris,3.21291057462403
cmdscaleMean+0.3+10,diabetes,3.72094036756647
cmdscalePca+0.3+10,glass,3.56144529135408
cmdscalePca+0.3+10,iris,3.53381965936883
cmdscalePca+0.3+10,diabetes,2.68881019308847
cmdscaleMean+0.3+10,glass,3.76269001705274
cmdscaleMean+0.3+10,iris,3.69232788053372
cmdscaleMean+0.3+10,diabetes,3.34558200808611
cmdscalePca+0.3+10,glass,3.45192279074634
cmdscalePca+0.3+10,iris,2.8280569701911
cmdscalePca+0.3+10,diabetes,3.55275456303442
cmdscaleMean+0.3+10,glass,3.13050896816807
cmdscaleMean+0.3+10,iris,3.31521950378493
cmdscaleMean+0.3+10,diabetes,3.31776977186342
cmdscalePca+0.3+10,glass,3.60083697364318
cmdscalePca+0.3+10,iris,2.82392156126215
cmdscalePca+0.3+10,diabetes,2.7570651094977
cmdscaleMean+0.3+10,glass,3.72840278502464
cmdscaleMean+0.3+10,iris,3.2204182331449
cmdscaleMean+0.3+10,diabetes,3.36132698827449
cmdscalePca+0.3+10,glass,3.54778371917465
cmdscalePca+0.3+10,iris,3.54363771624854
cmdscalePca+0.3+10,diabetes,2.68415525083673
cmdscaleMean+0.3+10,glass,3.29259050904514
cmdscaleMean+0.3+10,iris,3.73194738995734
