"Arica"	"Cuya"	"Iquique"	"Pozo Almonte"	"Lagunas"	"Toconao"	"Calama"	"Chuquicamata"	"María Elena"	"Tocopilla"	"Mejillones"	"Antofagasta"	"Taltal"	"Diego de Almagro"	"Caldera"	"Copiapó"	"Tierra Amarilla"	"Vallenar"	"Huasco"	"Chanaral"	"Pichilemu"	"Vicuña"	"La Serena"	"Coquimbo"	"Ovalle"	"Combarbalá"	"Illapel"	"Salamanca"	"San Antonio"	"Valparaíso"	"Viña del Mar"	"Quillota"	"La Ligua"	"San Felipe"	"Los Andes"	"Santiago"	"San Bernardo"	"Rancagua"	"San Fernando"	"Curicó"	"Talca"	"Linares"	"Cauquenes"	"Quirihue"	"Chillán"	"Constitución"	"Talcahuano"	"Concepción"	"Coronel"	"Lota"	"Curanilahue"	"Lebu"	"Santa Bárbara"	"Los Angeles"	"Angol"	"Collipulli"	"Victoria"	"Carahue"	"Nueva Imperial"	"Temuco"	"Villarica"	"Loncoche"	"Toltén"	"Valdivia"	"Los Lagos"	"La Unión"	"Río Bueno"	"Osorno"	"Puerto Varas"	"Puerto Montt"	"Calbuco"	"Ancud"	"Castro"	"Chonchi"	"Quellón"	"Lonquimay"	"Puerto Aisén"	"Coihaique"	"Cochrane"	"Villa O'Higgins"	"Puerto Natales"	"Río Verde"	"Punta Arenas"	"Puerto Williams"
"Arica"	0	70.5295979007344	195.313503803058	203.37154313558	283.292079998326	571.762545107304	461.811274174316	447.774622428746	432.945475511387	399.325936409277	511.766777882343	572.767486571986	767.469146163805	875.406366862413	954.498200888506	985.200315668662	998.530964293092	1120.75344588955	1112.60284887482	1176.59044616744	1773.87280607593	1282.82881741234	1271.3362187334	1277.9539658027	1347.4756392464	1411.75852603092	1462.61359185691	1478.24461695193	1684.10669581733	1623.07243795312	1620.45991663952	1601.90818625747	1555.18314903689	1585.10894575683	1593.67903016845	1662.78710812361	1679.53790909781	1742.99522427778	1789.3542522866	1834.88951811732	1890.19865420833	1932.34531015003	1951.66647523539	1989.19734611135	2020.45485062289	1883.09336408932	2044.37075600834	2055.96576905779	2079.39426294819	2085.9486248585	2131.26296598579	2149.88098350736	2138.2351241186	2117.86681477848	2157.80308316193	2173.80361716522	2203.90692645033	2264.3682957937	2265.32697262812	2260.33359700154	2318.17436192612	2331.54622850774	2320.72745454896	2384.83437672761	2386.44252285591	2437.71648352898	2441.90049532609	2469.34718319703	2551.52965329991	2566.43172017649	2599.62809376785	2620.18268617131	2686.59887221887	2701.37141208227	2752.97684598974	2218.36239489702	2999.41528264241	3014.52823162507	3205.28647978404	3338.56631160059	3698.83921973263	3798.68326011382	3854.98190853494	4057.55466602486
"Cuya"	70.5295979007344	0	126.017683976838	132.860382741566	212.768491196476	502.580190130596	391.512125947981	377.528745841108	362.73930476106	330.668525202772	444.138741662554	504.835193269308	699.528458215194	806.530830437661	887.181633229757	916.855755543096	930.076874155237	1053.08271030845	1045.83521542924	1110.11064952996	1707.18777917775	1214.99035297871	1204.33412198771	1211.10413152372	1280.28042554627	1344.19413032061	1395.23807087884	1410.59678889036	1617.0588485931	1556.11646396737	1553.4011888124	1534.5120671865	1487.80712253637	1517.07946255746	1525.51260449092	1594.67016305185	1611.44979331247	1674.92533476391	1721.51720230904	1767.28129084428	1822.99454702564	1865.01897477352	1885.09617873398	1922.80453868722	1953.56523284716	1816.7463621597	1978.54548783974	1990.04151611666	2013.54901117965	2020.09056969987	2065.51597054373	2084.44137736538	2071.13561428323	2051.11544036725	2091.34660712166	2107.05176544623	2137.03544800693	2198.20516716883	2198.9593536728	2193.61739787288	2251.08944190541	2264.7908193716	2254.51615268605	2318.55663616784	2319.79599487391	2371.228997451	2375.2972827028	2402.87798338599	2484.8225254036	2499.66152444683	2532.98439439224	2554.05872492917	2620.32607133923	2635.1151284464	2686.49601763742	2150.53340884978	2932.12012708827	2946.87177396034	3137.7844677801	3270.9994831319	3631.09085769265	3730.52233370766	3786.63703709732	3988.32060445419
"Iquique"	195.313503803058	126.017683976838	0	34.4930412612471	93.8224529376198	392.433924857864	274.851960465311	261.602248830054	238.321858290336	204.693222309883	318.625456359602	379.08642979482	573.711979477315	680.517439284578	761.642761774795	790.88395404166	804.083701476169	927.332207392439	920.604394770921	985.065148767312	1581.9100708532	1089.15605295431	1078.92063072305	1085.78436026426	1154.7444873552	1218.46574304456	1269.59585562263	1284.82743737327	1491.57286754385	1430.6882732109	1427.91430736581	1408.8496354602	1362.15765507128	1391.16745861114	1399.56336856968	1468.73195609371	1485.51886385531	1548.99800267402	1595.66152498313	1641.51182021954	1697.41116262288	1739.37246962085	1759.87597628298	1797.69717047068	1828.14618181304	1691.67955869997	1853.8355963522	1865.25692402896	1888.82050520456	1895.35186845201	1940.8559021547	1960.01759880385	1945.59465161779	1925.77178156014	1966.18445532405	1981.70460332891	2011.61682238144	2073.2321730957	2073.84813953665	2068.28684786981	2125.54875921079	2139.43337144278	2129.50611717096	2193.49757172932	2194.50107743292	2246.03023033538	2250.02611865274	2277.68919080684	2359.48383186103	2374.2852806237	2407.68158788853	2429.09016598242	2495.25387427366	2510.05315826015	2561.28696370982	2024.67055048804	2806.45768528782	2821.05816446986	3012.02870379996	3145.21621778377	3505.23829218821	3604.55658627725	3660.63993427499	3862.40832105984
"Pozo Almonte"	203.37154313558	132.860382741566	34.4930412612471	0	80.2397207091194	372.645879202946	259.007649386523	245.16171186201	231.721526529248	206.418208800691	321.810299805121	380.940034427847	574.587425162061	678.76855570719	763.353466931569	790.324038418407	803.240943387647	928.051781765368	923.041557104101	987.898781987612	1583.84896214265	1089.35136878856	1080.72341484078	1087.8486708236	1156.11821942267	1219.09163018296	1270.53809466347	1285.24187046557	1492.95160535353	1432.26455008625	1429.31411482342	1409.65648078202	1363.03196221053	1390.75235228568	1398.85755194305	1468.09524266049	1484.93401007323	1548.42153865158	1595.53179836351	1641.80086427727	1698.4090047881	1740.13534478234	1761.90858496452	1799.9936527395	1829.62558004706	1694.10065207799	1856.96592021272	1868.23594925866	1891.90514900063	1898.41472689037	1944.06045739932	1963.65198341193	1946.67397378288	1927.4401620645	1968.30911890697	1983.35116533746	2013.05639821206	2075.76793137504	2076.07115339815	2069.9607639915	2126.59398758034	2141.02056014785	2131.94891960384	2195.81793535994	2196.24620151705	2248.01067177308	2251.82343104547	2279.6887377415	2361.08527272772	2375.7815673079	2409.37147947343	2431.5720402411	2497.49518960034	2512.31566085907	2563.19417677517	2024.40478521517	2806.98968657495	2820.94857393164	3012.16781170386	3145.22196896825	3504.87442358636	3603.39918292493	3659.10718474707	3858.80795987922
"Lagunas"	283.292079998326	212.768491196476	93.8224529376198	80.2397207091194	0	298.880911116098	181.189745887351	167.827537034926	152.020796857913	133.795117564696	248.317685892465	305.591844134239	497.69247361502	600.135312103945	686.741909392841	712.218545709182	724.969369770897	850.604646712101	846.794474457524	911.898383650043	1506.91027390646	1011.49099904509	1003.89640908586	1011.20178950198	1078.95875375523	1141.43134862713	1193.05218409811	1207.43159161704	1415.66876312994	1355.12867071404	1352.06398135202	1332.04072671727	1285.4717803338	1312.45140495649	1320.4055504781	1389.66260964058	1406.52405694115	1470.00306821377	1517.33660570417	1563.82622482438	1620.83784022958	1662.4149160474	1684.98934484493	1723.24700207669	1752.32851253056	1617.46644832332	1780.8086819809	1791.9634618564	1815.70582828567	1822.19773799233	1867.93967479132	1887.85677439445	1869.10748611787	1850.24668146248	1891.41095113567	1906.13402856124	1935.70246685009	1999.13498175501	1999.2214015408	1992.74751766973	2048.98097378573	2063.74128693829	2055.24162416568	2119.0161700552	2119.06075120502	2170.97228864517	2174.66439701601	2202.65879945647	2283.78700621922	2298.41528406079	2332.12405930255	2354.8498145447	2420.60051428253	2435.43364365976	2486.07059000053	1946.07340773857	2729.01469009585	2742.62980104203	2933.9670273567	3066.9443397049	3426.39463825676	3524.54883493458	3580.09644911146	3779.09062384469
"Toconao"	571.762545107304	502.580190130596	392.433924857864	372.645879202946	298.880911116098	0	123.347844057701	134.085246906163	193.171876722105	254.004415253771	248.977810540615	248.675669596027	350.130417350085	409.49502809323	516.670048198948	519.878314390646	529.162379175268	658.830294961717	669.509589563567	733.964011384757	1303.82411020652	807.925804627823	813.089403180438	822.158939988046	881.929779597322	936.787399042241	989.308293502535	999.463204622141	1210.16771746559	1152.22661741433	1147.9472139169	1124.0773122111	1078.98345143763	1096.30423956089	1102.11094510856	1170.61332537693	1187.54676763249	1250.09949240983	1299.74112638714	1348.40772520285	1409.48015611919	1448.92926026221	1479.96701197762	1519.59138299904	1542.65617337702	1416.11789137405	1582.35795930977	1592.29784569311	1616.51185750422	1622.77316670793	1669.00552629891	1691.77516782458	1655.5048801309	1640.80503046665	1684.67440758492	1695.9898847532	1723.88614605198	1794.1953529937	1792.13419307749	1781.99569749399	1833.58669504349	1851.81439533615	1849.16597867934	1911.57867086587	1907.75250793173	1960.84493428109	1963.28810813991	1992.42818105537	2070.36727799727	2084.21332980373	2118.97758162831	2146.81425737123	2210.55193903947	2225.43750151602	2273.44439357819	1723.03227315767	2506.48048228625	2516.12168972012	2708.25901376482	2839.99815972735	3196.27646134246	3289.65826590454	3342.98958045807	3530.63914067414
"Calama"	461.811274174316	391.512125947981	274.851960465311	259.007649386523	181.189745887351	123.347844057701	0	14.4918590433979	77.9011997841648	136.676663989669	172.712249029199	201.827008871681	363.883625244966	450.599052767288	548.656389332178	564.419453721933	575.850072338995	705.081015223175	708.000413702965	773.572854280995	1360.09588078339	862.079520137376	860.337527633896	868.534471876361	933.041399300491	992.361023761211	1044.67536508372	1057.17167318448	1267.41141509366	1207.87156963304	1204.22309297133	1182.32311935197	1136.25061013282	1158.89452578014	1165.9040398106	1235.05474260729	1252.0022520891	1315.24843287926	1363.76776115228	1411.3842599689	1470.43373276361	1511.11367173466	1537.7417306984	1576.74436321358	1603.02289032105	1471.80366731622	1636.95079886176	1647.5412103717	1671.56454145228	1677.95852783922	1724.03490811467	1745.38519505419	1718.17415183053	1701.249302534	1743.78360933016	1756.90605118177	1785.73148137579	1852.56452677776	1851.61668252373	1843.37809817012	1897.49549643653	1913.92278943751	1908.21529587731	1971.43111201089	1969.61837109669	2022.16802799188	2025.26680326711	2053.84787303945	2133.55185143129	2147.82422740283	2182.07652780735	2207.28839523441	2272.14156260218	2287.01628178009	2336.43987610285	1790.86203204945	2574.88117236921	2586.64146141593	2778.48403863961	2910.96177052643	3269.11213035421	3365.09359817523	3419.64447849323	3613.60738925972
"Chuquicamata"	447.774622428746	377.528745841108	261.602248830054	245.16171186201	167.827537034926	134.085246906163	14.4918590433979	0	76.1840865714415	132.211698105842	178.410744942855	210.982184853899	376.574623896857	464.360894316506	561.900420800739	578.182679738082	589.682766883797	718.809795268863	721.399030614061	786.98103537686	1374.02153509201	876.030563229567	874.032427520803	882.190692217834	946.861676104072	1006.32539778146	1058.62106145922	1071.19344766028	1281.38339850736	1221.79677037626	1218.17105130899	1196.34112894622	1150.24360025005	1173.04877245637	1180.09074922152	1249.25105152005	1266.19715352339	1329.45566569905	1377.9400110987	1425.52218053168	1484.50479838759	1525.21933667751	1551.70077678057	1590.67775703405	1617.06374178965	1485.694775022	1650.78380158262	1661.39793054457	1685.41184337612	1691.81028193977	1737.87669032428	1759.17001170098	1732.2795419046	1715.28522605758	1757.77164765316	1770.9535518987	1799.8069532763	1866.51924845415	1865.61016380754	1857.43526354657	1911.62813145221	1927.99918341673	1922.19028371333	1985.4300517034	1983.68408347814	2036.21345348409	2039.33333569169	2067.89488794855	2147.65154777236	2161.93648592276	2196.17154625649	2221.29670877062	2286.18446686764	2301.05823157057	2350.52573027412	1805.10781901274	2589.1162486332	2600.92892110771	2792.7608106535	2925.25389649765	3283.44151585427	3379.47362679015	3434.0452734275	3628.0834942615
"María Elena"	432.945475511387	362.73930476106	238.321858290336	231.721526529248	152.020796857913	193.171876722105	77.9011997841648	76.1840865714415	0	60.8359037780139	115.562153437522	162.721568597802	348.759750504499	448.612458906973	537.706020714484	561.168793981848	573.733771650563	700.2220764609	698.021777263226	763.39199976276	1356.83016936619	860.552625477598	854.175570740942	861.708186436689	928.780557537046	990.659617401106	1042.45219907889	1056.48456947618	1265.22632641044	1204.86761387672	1201.67521432062	1181.26280436572	1134.76399613185	1161.0279243672	1168.85885239358	1238.1238262261	1255.00130790291	1318.46774759288	1365.97808375859	1412.65699463015	1470.04952287602	1511.47262084977	1534.88811560346	1573.33396183225	1601.80220876598	1467.71049465997	1631.58170845021	1642.59350473266	1666.41843579138	1672.88727743419	1718.73471491169	1739.04894709548	1718.28996123311	1699.8147683475	1741.29369260336	1755.66887355886	1785.09099375843	1849.29798530674	1849.14034360909	1842.27480999831	1898.09924264504	1913.19128592309	1905.31108550918	1968.97059761794	1968.60181362363	2020.66261161184	2024.22682163656	2052.35442515465	2133.19501443888	2147.75348296803	2181.57939442083	2204.86191381729	2270.41736273407	2285.26260608796	2335.63967952107	1794.57228756935	2577.76480942618	2591.10806931291	2782.52879529308	2915.44497030709	3274.7475740873	3372.68770618866	3428.16526571415	3627.13193835457
"Tocopilla"	399.325936409277	330.668525202772	204.693222309883	206.418208800691	133.795117564696	254.004415253771	136.676663989669	132.211698105842	60.8359037780139	0	115.435037854588	174.793171929925	369.156426655596	476.081345592368	557.471505977897	586.192848717025	599.409434978987	722.812840029182	716.885920507877	781.632938522661	1377.95907008069	884.535257446451	874.853535506022	881.860297598032	950.484602742556	1013.95144380874	1065.18232810553	1080.26479809048	1287.34393596073	1226.54389002499	1223.69004658808	1204.40224489894	1157.72869062208	1186.48568265161	1194.87038922421	1264.04064994083	1280.82943166175	1344.309576916	1391.01360389823	1436.93888357086	1493.04420300474	1534.92890534585	1555.98613580401	1593.96338214898	1623.9800888739	1488.01843685201	1650.6803549467	1661.98747839858	1685.63129319769	1692.14629260772	1737.76098313914	1757.27838160934	1741.2681562308	1721.69870181895	1762.35577560805	1777.62315835359	1807.44043764377	1869.66016882035	1870.08093087964	1864.22195264846	1921.21581860186	1935.3292231917	1925.87593836918	1989.79295740368	1990.4757884165	2042.13013258698	2046.02906740895	2073.80053288753	2155.39316584225	2170.14603159233	2203.6350600827	2225.49318975775	2291.50967696033	2306.3219817761	2357.35576203285	1820.01440997993	2601.97419776536	2616.43427637943	2807.452663423	2940.61550215013	3300.58427775835	3399.8649288261	3455.96972572782	3658.3097111248
